Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HY,AY,HR,AR
18/08/01,Charlton,Everton,1,2,A,0,0,D,8,12,4,9,0,3,0,0
18/08/01,Derby,Blackburn,2,1,H,1,0,H,7,14,3,4,1,0,0,0
18/08/01,Leeds,Southampton,2,0,H,0,0,D,16,11,6,6,1,2,0,1
18/08/01,Leicester,Bolton,0,5,A,0,4,A,6,18,1,8,4,3,0,0
18/08/01,Liverpool,West Ham,2,1,H,1,1,D,9,3,6,3,1,5,0,0
18/08/01,Middlesbrough,Arsenal,0,4,A,0,1,A,6,14,2,9,2,3,1,1
18/08/01,Sunderland,Ipswich,1,0,H,1,0,H,12,10,6,4,0,1,0,0
18/08/01,Tottenham,Aston Villa,0,0,D,0,0,D,8,11,2,2,3,2,0,0
19/08/01,Chelsea,Newcastle,1,1,D,1,0,H,13,9,8,3,3,4,0,0
19/08/01,Man United,Fulham,3,2,H,1,1,D,12,8,6,5,0,1,0,0
20/08/01,Everton,Tottenham,1,1,D,0,1,A,18,7,11,2,3,2,0,2
21/08/01,Arsenal,Leeds,1,2,A,1,1,D,14,5,5,2,4,5,0,2
21/08/01,Bolton,Middlesbrough,1,0,H,1,0,H,13,11,3,4,1,1,0,0
21/08/01,Ipswich,Derby,3,1,H,1,0,H,30,2,18,2,0,3,0,1
22/08/01,Blackburn,Man United,2,2,D,0,1,A,12,18,5,7,2,1,1,0
22/08/01,Fulham,Sunderland,2,0,H,0,0,D,13,8,5,3,0,2,0,0
25/08/01,Arsenal,Leicester,4,0,H,2,0,H,20,2,11,0,1,4,1,1
25/08/01,Blackburn,Tottenham,2,1,H,1,0,H,12,12,7,5,1,1,0,0
25/08/01,Everton,Middlesbrough,2,0,H,1,0,H,7,5,5,1,2,1,0,0
25/08/01,Fulham,Derby,0,0,D,0,0,D,10,9,1,2,2,3,0,0
25/08/01,Ipswich,Charlton,0,1,A,0,0,D,17,13,11,6,2,6,0,0
25/08/01,Southampton,Chelsea,0,2,A,0,1,A,8,7,2,2,0,1,0,0
25/08/01,West Ham,Leeds,0,0,D,0,0,D,11,10,3,4,3,2,0,0
26/08/01,Aston Villa,Man United,1,1,D,1,0,H,11,13,4,7,0,2,0,0
26/08/01,Newcastle,Sunderland,1,1,D,1,1,D,16,6,6,3,2,2,0,0
27/08/01,Bolton,Liverpool,2,1,H,1,0,H,11,18,4,7,2,2,0,0
8/9/2001,Chelsea,Arsenal,1,1,D,1,1,D,10,14,5,11,1,5,1,0
8/9/2001,Derby,West Ham,0,0,D,0,0,D,6,10,3,4,5,2,0,0
8/9/2001,Leeds,Bolton,0,0,D,0,0,D,11,8,6,4,1,1,0,0
8/9/2001,Leicester,Ipswich,1,1,D,0,1,A,12,13,7,9,3,3,1,1
8/9/2001,Liverpool,Aston Villa,1,3,A,0,1,A,12,10,7,7,3,1,1,0
8/9/2001,Man United,Everton,4,1,H,2,0,H,18,5,9,1,0,1,0,0
8/9/2001,Middlesbrough,Newcastle,1,4,A,1,1,D,8,8,4,5,1,3,1,0
8/9/2001,Sunderland,Blackburn,1,0,H,0,0,D,11,10,4,4,2,3,0,0
9/9/2001,Charlton,Fulham,1,1,D,1,1,D,7,16,4,5,2,1,0,0
9/9/2001,Tottenham,Southampton,2,0,H,0,0,D,18,15,6,6,0,0,0,0
15/09/01,Bolton,Southampton,0,1,A,0,0,D,4,10,0,6,1,1,0,0
15/09/01,Derby,Leicester,2,3,A,1,1,D,15,12,9,6,5,3,0,0
15/09/01,Everton,Liverpool,1,3,A,1,2,A,11,13,5,9,0,1,0,0
15/09/01,Fulham,Arsenal,1,3,A,0,1,A,6,11,3,6,3,4,0,0
15/09/01,Middlesbrough,West Ham,2,0,H,2,0,H,13,5,5,1,2,3,0,1
15/09/01,Newcastle,Man United,4,3,H,2,1,H,15,10,8,7,2,1,0,1
