Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HY,AY,HR,AR
16/09/01,Aston Villa,Sunderland,0,0,D,0,0,D,8,4,3,2,0,4,0,0
16/09/01,Charlton,Leeds,0,2,A,0,1,A,9,20,4,9,2,1,1,0
16/09/01,Ipswich,Blackburn,1,1,D,1,0,H,20,6,10,4,3,1,0,0
16/09/01,Tottenham,Chelsea,2,3,A,0,1,A,11,6,4,4,1,4,0,1
17/09/01,Leicester,Middlesbrough,1,2,A,1,0,H,10,13,5,6,0,1,0,0
19/09/01,Blackburn,Bolton,1,1,D,0,0,D,20,10,8,5,0,4,0,0
19/09/01,Sunderland,Tottenham,1,2,A,0,1,A,14,13,8,6,1,2,0,0
22/09/01,Arsenal,Bolton,1,1,D,0,0,D,23,7,12,4,1,1,0,1
22/09/01,Blackburn,Everton,1,0,H,1,0,H,13,14,6,7,1,2,0,0
22/09/01,Leicester,Fulham,0,0,D,0,0,D,12,6,5,2,2,2,0,0
22/09/01,Liverpool,Tottenham,1,0,H,0,0,D,14,11,6,5,0,1,0,0
22/09/01,Man United,Ipswich,4,0,H,2,0,H,13,8,8,1,0,1,0,0
22/09/01,Sunderland,Charlton,2,2,D,0,1,A,22,13,13,5,2,3,0,0
23/09/01,Chelsea,Middlesbrough,2,2,D,2,0,H,8,4,3,2,4,1,0,0
23/09/01,Leeds,Derby,3,0,H,1,0,H,19,9,10,2,1,2,0,0
23/09/01,West Ham,Newcastle,3,0,H,1,0,H,17,8,9,5,3,0,0,0
24/09/01,Southampton,Aston Villa,1,3,A,1,2,A,12,11,4,5,1,2,1,1
26/09/01,Newcastle,Leicester,1,0,H,1,0,H,12,2,6,2,2,3,0,0
29/09/01,Bolton,Sunderland,0,2,A,0,0,D,15,14,8,7,1,1,0,0
29/09/01,Charlton,Leicester,2,0,H,1,0,H,14,9,12,6,1,2,1,1
29/09/01,Derby,Arsenal,0,2,A,0,1,A,7,11,5,6,3,3,0,1
29/09/01,Everton,West Ham,5,0,H,1,0,H,18,15,11,5,0,0,0,0
29/09/01,Middlesbrough,Southampton,1,3,A,0,0,D,5,8,3,4,0,1,0,0
29/09/01,Tottenham,Man United,3,5,A,3,0,H,7,18,3,9,3,3,0,0
30/09/01,Aston Villa,Blackburn,2,0,H,0,0,D,5,4,2,1,2,2,0,0
30/09/01,Fulham,Chelsea,1,1,D,0,1,A,4,9,1,3,1,4,0,1
30/09/01,Ipswich,Leeds,1,2,A,1,0,H,11,11,6,7,0,1,0,0
30/09/01,Newcastle,Liverpool,0,2,A,0,1,A,7,6,3,2,1,4,0,0
13/10/01,Bolton,Newcastle,0,4,A,0,1,A,9,15,3,8,2,2,1,0
13/10/01,Charlton,Middlesbrough,0,0,D,0,0,D,8,11,4,4,2,1,0,0
13/10/01,Chelsea,Leicester,2,0,H,2,0,H,22,8,10,2,0,0,0,0
13/10/01,Ipswich,Everton,0,0,D,0,0,D,7,9,4,6,0,1,0,0
13/10/01,Liverpool,Leeds,1,1,D,0,1,A,10,9,2,3,3,2,0,0
13/10/01,Southampton,Arsenal,0,2,A,0,1,A,3,21,0,8,2,1,1,0
13/10/01,Sunderland,Man United,1,3,A,0,1,A,15,13,7,8,0,0,0,0
14/10/01,Aston Villa,Fulham,2,0,H,0,0,D,9,11,3,3,1,1,0,0
14/10/01,Blackburn,West Ham,7,1,H,3,1,H,24,12,14,5,1,3,0,1
15/10/01,Tottenham,Derby,3,1,H,2,1,H,24,8,12,6,0,2,0,0
20/10/01,Arsenal,Blackburn,3,3,D,0,1,A,18,9,11,5,1,2,0,0
20/10/01,Derby,Charlton,1,1,D,1,0,H,10,11,5,7,3,0,0,0
20/10/01,Everton,Aston Villa,3,2,H,1,0,H,10,11,6,3,0,1,0,0
20/10/01,Leicester,Liverpool,1,4,A,0,3,A,8,12,3,6,1,2,0,0
20/10/01,Man United,Bolton,1,2,A,1,1,D,13,7,6,2,0,0,0,0
20/10/01,West Ham,Southampton,2,0,H,0,0,D,20,10,8,3,0,1,0,1
21/10/01,Fulham,Ipswich,1,1,D,1,0,H,7,6,3,2,2,3,1,0
21/10/01,Leeds,Chelsea,0,0,D,0,0,D,18,14,12,6,2,3,0,0
21/10/01,Newcastle,Tottenham,0,2,A,0,2,A,8,9,3,3,2,1,0,0
22/10/01,Middlesbrough,Sunderland,2,0,H,2,0,H,7,15,5,5,1,2,1,0
24/10/01,Aston Villa,Charlton,1,0,H,1,0,H,16,4,6,0,0,0,0,0
24/10/01,Southampton,Ipswich,3,3,D,2,1,H,11,10,6,5,2,1,0,0
24/10/01,West Ham,Chelsea,2,1,H,2,1,H,10,15,4,5,0,0,0,0
27/10/01,Aston Villa,Bolton,3,2,H,2,1,H,10,9,7,5,2,3,0,0
27/10/01,Charlton,Liverpool,0,2,A,0,2,A,14,5,4,4,0,1,0,1
27/10/01,Everton,Newcastle,1,3,A,0,1,A,18,6,8,4,1,2,0,0
27/10/01,Fulham,Southampton,2,1,H,2,1,H,19,11,5,5,0,2,0,0
27/10/01,Man United,Leeds,1,1,D,0,0,D,18,12,6,6,3,3,0,0
27/10/01,Sunderland,Arsenal,1,1,D,0,1,A,10,14,6,5,3,3,0,0
27/10/01,Tottenham,Middlesbrough,2,1,H,0,1,A,10,8,4,3,0,0,0,0
28/10/01,Derby,Chelsea,1,1,D,1,0,H,13,19,8,8,1,4,0,0
28/10/01,Ipswich,West Ham,2,3,A,0,1,A,12,12,8,4,2,2,0,0
29/10/01,Blackburn,Leicester,0,0,D,0,0,D,12,10,3,5,6,2,0,0
3/11/2001,Bolton,Everton,2,2,D,1,1,D,16,11,8,6,4,2,1,0
3/11/2001,Leicester,Sunderland,1,0,H,0,0,D,9,11,5,4,1,3,0,0
3/11/2001,Middlesbrough,Derby,5,1,H,0,0,D,11,6,7,4,0,1,0,0
3/11/2001,Newcastle,Aston Villa,3,0,H,1,0,H,17,10,7,2,0,3,0,0
3/11/2001,Southampton,Blackburn,1,2,A,1,1,D,16,6,6,5,1,1,0,0
3/11/2001,West Ham,Fulham,0,2,A,0,1,A,12,14,6,6,1,3,0,0
4/11/2001,Arsenal,Charlton,2,4,A,1,2,A,26,9,12,4,3,2,0,0
4/11/2001,Chelsea,Ipswich,2,1,H,1,0,H,15,7,6,3,0,2,0,0
4/11/2001,Leeds,Tottenham,2,1,H,0,0,D,20,11,9,4,1,3,0,0
4/11/2001,Liverpool,Man United,3,1,H,2,0,H,8,10,5,3,0,0,0,0
17/11/01,Aston Villa,Middlesbrough,0,0,D,0,0,D,8,11,5,2,1,2,0,0
17/11/01,Blackburn,Liverpool,1,1,D,0,1,A,5,5,5,2,2,0,0,0
17/11/01,Derby,Southampton,1,0,H,1,0,H,9,8,3,4,0,1,0,0
17/11/01,Fulham,Newcastle,3,1,H,2,0,H,8,7,8,1,0,6,0,0
17/11/01,Man United,Leicester,2,0,H,1,0,H,14,8,7,4,2,1,0,0
17/11/01,Tottenham,Arsenal,1,1,D,0,0,D,9,5,4,5,2,1,0,0
18/11/01,Everton,Chelsea,0,0,D,0,0,D,12,14,4,7,1,3,0,0
18/11/01,Ipswich,Bolton,1,2,A,1,2,A,8,10,4,5,0,2,0,0
18/11/01,Sunderland,Leeds,2,0,H,0,0,D,12,12,5,6,1,3,0,0
19/11/01,Charlton,West Ham,4,4,D,2,2,D,18,11,9,7,1,2,0,0
24/11/01,Bolton,Fulham,0,0,D,0,0,D,11,7,5,1,1,1,0,0
24/11/01,Chelsea,Blackburn,0,0,D,0,0,D,14,8,8,2,0,2,0,0
24/11/01,Leicester,Everton,0,0,D,0,0,D,8,8,7,3,2,1,0,0
24/11/01,Newcastle,Derby,1,0,H,1,0,H,17,8,10,4,1,2,0,0
24/11/01,Southampton,Charlton,1,0,H,0,0,D,15,7,8,4,0,1,0,0
24/11/01,West Ham,Tottenham,0,1,A,0,0,D,10,10,6,3,2,2,0,0
25/11/01,Arsenal,Man United,3,1,H,0,1,A,14,2,10,1,2,3,0,0
25/11/01,Leeds,Aston Villa,1,1,D,1,1,D,16,15,9,8,2,2,1,0
25/11/01,Liverpool,Sunderland,1,0,H,1,0,H,7,12,3,5,1,3,1,0
25/11/01,Middlesbrough,Ipswich,0,0,D,0,0,D,9,11,4,3,0,0,0,0
1/12/2001,Aston Villa,Leicester,0,2,A,0,1,A,11,6,7,4,0,4,1,0
1/12/2001,Blackburn,Middlesbrough,0,1,A,0,1,A,14,8,4,5,1,2,0,0
1/12/2001,Charlton,Newcastle,1,1,D,0,0,D,15,12,7,6,1,2,0,1
1/12/2001,Derby,Liverpool,0,1,A,0,1,A,12,7,4,5,1,2,0,0
1/12/2001,Ipswich,Arsenal,0,2,A,0,1,A,7,7,2,3,0,2,0,0
1/12/2001,Man United,Chelsea,0,3,A,0,1,A,12,14,5,5,2,3,0,0
1/12/2001,Sunderland,West Ham,1,0,H,0,0,D,15,10,6,5,3,0,0,0
2/12/2001,Everton,Southampton,2,0,H,0,0,D,13,10,7,4,0,1,0,0
2/12/2001,Fulham,Leeds,0,0,D,0,0,D,13,6,5,5,1,2,0,0
3/12/2001,Tottenham,Bolton,3,2,H,0,1,A,14,9,6,6,0,2,0,0
5/12/2001,Chelsea,Charlton,0,1,A,0,0,D,20,11,5,5,1,1,0,0
5/12/2001,West Ham,Aston Villa,1,1,D,0,1,A,14,12,8,5,2,1,0,0
8/12/2001,Charlton,Tottenham,3,1,H,2,0,H,11,14,6,5,3,1,0,0
8/12/2001,Derby,Bolton,1,0,H,0,0,D,16,6,6,3,0,4,0,0
8/12/2001,Fulham,Everton,2,0,H,1,0,H,10,5,4,3,2,4,1,1
8/12/2001,Leicester,Southampton,0,4,A,0,1,A,8,10,4,5,1,0,0,0
8/12/2001,Liverpool,Middlesbrough,2,0,H,2,0,H,8,4,5,2,0,2,0,0
8/12/2001,Man United,West Ham,0,1,A,0,0,D,17,8,6,4,5,3,0,0
9/12/2001,Arsenal,Aston Villa,3,2,H,0,2,A,15,8,8,5,4,0,0,0
9/12/2001,Blackburn,Leeds,1,2,A,0,0,D,14,10,6,7,1,5,0,0
9/12/2001,Ipswich,Newcastle,0,1,A,0,1,A,9,7,5,5,3,1,0,0
9/12/2001,Sunderland,Chelsea,0,0,D,0,0,D,11,10,6,3,1,3,0,0
12/12/2001,Liverpool,Fulham,0,0,D,0,0,D,16,8,7,4,0,0,0,0
12/12/2001,Man United,Derby,5,0,H,2,0,H,20,8,11,5,1,2,0,0
15/12/01,Bolton,Charlton,0,0,D,0,0,D,13,6,6,4,1,2,0,0
15/12/01,Everton,Derby,1,0,H,0,0,D,22,3,12,2,1,1,0,0
15/12/01,Middlesbrough,Man United,0,1,A,0,0,D,6,14,3,5,2,3,0,0
15/12/01,Newcastle,Blackburn,2,1,H,0,1,A,15,8,6,6,0,3,0,0
15/12/01,Southampton,Sunderland,2,0,H,1,0,H,14,5,5,3,1,2,0,0
15/12/01,Tottenham,Fulham,4,0,H,2,0,H,10,12,6,1,3,2,0,0
15/12/01,West Ham,Arsenal,1,1,D,1,1,D,8,16,4,6,4,3,0,0
16/12/01,Chelsea,Liverpool,4,0,H,2,0,H,16,16,10,8,2,3,0,0
16/12/01,Leeds,Leicester,2,2,D,1,0,H,14,5,7,4,1,3,0,0
17/12/01,Aston Villa,Ipswich,2,1,H,1,1,D,10,14,5,3,0,1,0,0
18/12/01,Arsenal,Newcastle,1,3,A,1,0,H,19,4,8,3,3,3,1,1
19/12/01,Leeds,Everton,3,2,H,2,0,H,18,8,7,3,1,1,0,0
22/12/01,Charlton,Blackburn,0,2,A,0,0,D,10,7,2,4,2,3,0,0
22/12/01,Derby,Aston Villa,3,1,H,1,1,D,10,10,7,3,0,1,0,0
22/12/01,Leeds,Newcastle,3,4,A,1,1,D,15,13,6,7,2,1,0,0
22/12/01,Leicester,West Ham,1,1,D,1,0,H,10,7,4,3,2,2,1,0
22/12/01,Man United,Southampton,6,1,H,3,0,H,12,6,7,3,1,1,0,0
22/12/01,Sunderland,Everton,1,0,H,0,0,D,10,8,5,5,1,4,0,0
22/12/01,Tottenham,Ipswich,1,2,A,1,1,D,12,12,6,4,1,2,1,0
23/12/01,Chelsea,Bolton,5,1,H,2,1,H,16,10,5,4,2,2,0,0
23/12/01,Liverpool,Arsenal,1,2,A,0,1,A,15,11,2,3,1,4,0,1
26/12/01,Arsenal,Chelsea,2,1,H,0,1,A,11,9,7,3,2,4,0,0
26/12/01,Aston Villa,Liverpool,1,2,A,1,1,D,10,12,5,6,1,0,0,0
26/12/01,Blackburn,Sunderland,0,3,A,0,2,A,7,13,3,7,1,2,1,0
26/12/01,Bolton,Leeds,0,3,A,0,2,A,17,8,2,5,1,3,0,0
26/12/01,Everton,Man United,0,2,A,0,0,D,10,11,5,7,0,1,0,0
26/12/01,Fulham,Charlton,0,0,D,0,0,D,10,8,4,3,2,1,0,0
26/12/01,Ipswich,Leicester,2,0,H,0,0,D,12,3,6,1,0,2,0,0
26/12/01,Newcastle,Middlesbrough,3,0,H,1,0,H,18,5,9,2,0,1,0,0
26/12/01,Southampton,Tottenham,1,0,H,0,0,D,6,10,5,6,0,3,0,0
26/12/01,West Ham,Derby,4,0,H,1,0,H,14,6,9,3,1,3,0,1
29/12/01,Arsenal,Middlesbrough,2,1,H,0,1,A,16,3,6,2,3,4,0,0
29/12/01,Aston Villa,Tottenham,1,1,D,0,1,A,12,7,7,4,0,3,0,0
29/12/01,Blackburn,Derby,0,1,A,0,1,A,16,7,5,5,2,4,0,0
29/12/01,Bolton,Leicester,2,2,D,1,2,A,5,14,3,8,2,3,2,1
29/12/01,Everton,Charlton,0,3,A,0,1,A,7,8,3,4,1,3,0,0
29/12/01,Ipswich,Sunderland,5,0,H,4,0,H,13,10,8,3,1,1,0,0
29/12/01,Newcastle,Chelsea,1,2,A,1,2,A,10,12,7,8,0,3,0,0
29/12/01,Southampton,Leeds,0,1,A,0,0,D,12,13,6,7,1,1,0,0
29/12/01,West Ham,Liverpool,1,1,D,1,0,H,17,12,8,8,1,0,0,0
30/12/01,Fulham,Man United,2,3,A,1,2,A,17,19,9,10,0,2,0,0
1/1/2002,Charlton,Ipswich,3,2,H,2,2,D,13,6,8,4,2,2,0,0
1/1/2002,Chelsea,Southampton,2,4,A,2,1,H,13,8,6,5,2,1,0,0
1/1/2002,Leeds,West Ham,3,0,H,2,0,H,12,9,11,4,3,2,0,0
1/1/2002,Liverpool,Bolton,1,1,D,0,0,D,15,7,5,6,1,4,0,0
1/1/2002,Middlesbrough,Everton,1,0,H,0,0,D,10,11,4,3,1,2,0,0
1/1/2002,Sunderland,Aston Villa,1,1,D,0,0,D,18,8,11,4,1,3,0,0
1/1/2002,Tottenham,Blackburn,1,0,H,1,0,H,12,11,7,7,0,1,0,0
2/1/2002,Derby,Fulham,0,1,A,0,0,D,10,8,0,4,1,2,0,0
2/1/2002,Man United,Newcastle,3,1,H,1,0,H,11,11,7,6,1,1,0,0
9/1/2002,Southampton,Liverpool,2,0,H,0,0,D,9,7,7,4,0,1,0,0
12/1/2002,Aston Villa,Derby,2,1,H,2,1,H,9,3,5,1,2,3,0,1
12/1/2002,Blackburn,Charlton,4,1,H,2,0,H,18,9,11,6,0,0,0,1
12/1/2002,Bolton,Chelsea,2,2,D,0,0,D,11,9,5,4,0,1,0,0
12/1/2002,Everton,Sunderland,1,0,H,1,0,H,9,6,5,1,1,1,0,0
12/1/2002,Fulham,Middlesbrough,2,1,H,2,1,H,19,8,11,4,1,2,0,0
12/1/2002,Ipswich,Tottenham,2,1,H,1,0,H,8,11,5,6,0,1,0,0
12/1/2002,Newcastle,Leeds,3,1,H,1,1,D,16,8,8,6,3,6,0,1
12/1/2002,West Ham,Leicester,1,0,H,1,0,H,11,5,7,3,1,2,0,0
13/01/02,Arsenal,Liverpool,1,1,D,0,0,D,11,5,4,2,1,1,0,0
13/01/02,Southampton,Man United,1,3,A,1,2,A,12,11,4,7,1,1,0,0
19/01/02,Derby,Ipswich,1,3,A,0,0,D,13,13,5,5,0,2,0,0
19/01/02,Leicester,Newcastle,0,0,D,0,0,D,8,9,4,3,2,2,0,0
19/01/02,Liverpool,Southampton,1,1,D,1,0,H,9,6,5,2,0,1,0,0
19/01/02,Man United,Blackburn,2,1,H,1,0,H,16,10,6,4,1,0,0,0
19/01/02,Middlesbrough,Bolton,1,1,D,1,0,H,11,7,3,4,1,1,0,0
19/01/02,Sunderland,Fulham,1,1,D,0,1,A,16,9,8,2,3,2,0,0
19/01/02,Tottenham,Everton,1,1,D,1,1,D,12,4,4,2,0,2,0,0
20/01/02,Chelsea,West Ham,5,1,H,1,0,H,22,5,15,4,3,1,0,1
20/01/02,Leeds,Arsenal,1,1,D,1,1,D,6,9,1,6,1,2,0,0
21/01/02,Charlton,Aston Villa,1,2,A,0,2,A,9,7,5,3,1,1,0,0
22/01/02,Man United,Liverpool,0,1,A,0,0,D,12,9,3,5,1,2,0,0
23/01/02,Leicester,Arsenal,1,3,A,0,2,A,3,13,2,8,2,0,0,0
29/01/02,Bolton,Man United,0,4,A,0,2,A,15,21,4,12,0,0,0,0
29/01/02,Charlton,Derby,1,0,H,0,0,D,11,3,3,2,1,2,0,0
29/01/02,Sunderland,Middlesbrough,0,1,A,0,1,A,18,6,8,2,0,2,0,1
30/01/02,Aston Villa,Everton,0,0,D,0,0,D,8,6,2,0,1,3,0,0
30/01/02,Blackburn,Arsenal,2,3,A,2,2,D,10,9,4,5,2,2,0,1
30/01/02,Chelsea,Leeds,2,0,H,2,0,H,14,6,3,4,1,2,0,0
30/01/02,Ipswich,Fulham,1,0,H,1,0,H,13,7,8,3,1,2,0,0
30/01/02,Liverpool,Leicester,1,0,H,0,0,D,11,3,4,0,1,2,0,0
30/01/02,Southampton,West Ham,2,0,H,1,0,H,10,11,8,4,0,3,0,0
30/01/02,Tottenham,Newcastle,1,3,A,1,0,H,8,10,6,4,1,1,0,0
2/2/2002,Arsenal,Southampton,1,1,D,1,0,H,14,4,4,1,2,3,0,0
2/2/2002,Derby,Tottenham,1,0,H,1,0,H,12,7,7,3,3,2,0,0
2/2/2002,Everton,Ipswich,1,2,A,1,2,A,9,5,4,3,1,0,0,0
2/2/2002,Fulham,Aston Villa,0,0,D,0,0,D,9,15,3,9,1,2,0,0
2/2/2002,Leicester,Chelsea,2,3,A,1,0,H,16,9,9,5,1,3,0,0
2/2/2002,Man United,Sunderland,4,1,H,4,1,H,18,6,8,3,1,3,0,0
2/2/2002,Newcastle,Bolton,3,2,H,2,2,D,10,10,6,6,0,0,0,0
2/2/2002,West Ham,Blackburn,2,0,H,1,0,H,13,14,6,2,2,3,0,0
3/2/2002,Leeds,Liverpool,0,4,A,0,1,A,13,11,5,7,2,1,0,0
3/2/2002,Middlesbrough,Charlton,0,0,D,0,0,D,7,8,3,2,1,2,0,0
9/2/2002,Aston Villa,Chelsea,1,1,D,1,0,H,7,9,3,3,1,1,0,0
9/2/2002,Bolton,West Ham,1,0,H,1,0,H,4,9,3,2,1,3,0,0
9/2/2002,Derby,Sunderland,0,1,A,0,0,D,9,8,4,4,0,1,0,0
9/2/2002,Fulham,Blackburn,2,0,H,1,0,H,13,10,8,6,3,2,0,1
9/2/2002,Ipswich,Liverpool,0,6,A,0,2,A,4,14,2,11,0,0,0,0
9/2/2002,Middlesbrough,Leeds,2,2,D,0,1,A,10,10,5,6,1,1,0,0
9/2/2002,Newcastle,Southampton,3,1,H,3,1,H,16,11,10,4,0,1,0,0
9/2/2002,Tottenham,Leicester,2,1,H,1,0,H,12,7,4,6,0,1,0,0
10/2/2002,Charlton,Man United,0,2,A,0,1,A,9,10,1,5,0,1,0,0
10/2/2002,Everton,Arsenal,0,1,A,0,0,D,6,6,2,3,0,5,0,0
19/02/02,Middlesbrough,Fulham,2,1,H,1,0,H,11,10,5,5,1,2,0,0
23/02/02,Arsenal,Fulham,4,1,H,3,1,H,16,6,10,5,0,1,0,0
23/02/02,Leicester,Derby,0,3,A,0,0,D,6,5,3,4,4,2,0,0
23/02/02,Liverpool,Everton,1,1,D,0,0,D,13,6,5,3,0,2,0,0
23/02/02,Man United,Aston Villa,1,0,H,0,0,D,14,4,4,2,0,0,0,0
23/02/02,Southampton,Bolton,0,0,D,0,0,D,8,4,2,2,1,3,1,0
23/02/02,West Ham,Middlesbrough,1,0,H,0,0,D,12,7,8,4,2,5,0,1
24/02/02,Leeds,Charlton,0,0,D,0,0,D,14,9,2,2,0,3,0,0
24/02/02,Sunderland,Newcastle,0,1,A,0,0,D,11,13,4,5,3,1,0,0
2/3/2002,Aston Villa,West Ham,2,1,H,1,1,D,10,4,7,3,0,1,0,0
2/3/2002,Bolton,Blackburn,1,1,D,1,0,H,11,6,5,3,1,0,0,1
2/3/2002,Charlton,Chelsea,2,1,H,0,0,D,9,4,6,2,2,1,0,0
2/3/2002,Fulham,Liverpool,0,2,A,0,1,A,11,10,5,4,3,2,0,0
2/3/2002,Ipswich,Southampton,1,3,A,0,0,D,8,5,4,4,0,1,0,0
2/3/2002,Middlesbrough,Leicester,1,0,H,1,0,H,11,6,7,1,2,4,0,0
2/3/2002,Newcastle,Arsenal,0,2,A,0,2,A,13,9,6,6,0,1,0,0
2/3/2002,Tottenham,Sunderland,2,1,H,1,1,D,17,7,7,2,0,1,0,0
3/3/2002,Derby,Man United,2,2,D,1,1,D,12,22,7,9,2,0,0,0
3/3/2002,Everton,Leeds,0,0,D,0,0,D,12,7,7,3,1,2,0,1
5/3/2002,Arsenal,Derby,1,0,H,0,0,D,17,0,8,0,1,2,0,0
5/3/2002,Blackburn,Aston Villa,3,0,H,1,0,H,21,6,9,4,1,2,0,0
5/3/2002,Sunderland,Bolton,1,0,H,1,0,H,11,10,4,4,2,1,0,0
6/3/2002,Chelsea,Fulham,3,2,H,2,1,H,14,12,8,6,1,0,0,0
6/3/2002,Leeds,Ipswich,2,0,H,0,0,D,11,9,7,3,1,3,0,0
6/3/2002,Liverpool,Newcastle,3,0,H,1,0,H,23,11,11,2,0,0,0,0
6/3/2002,Man United,Tottenham,4,0,H,2,0,H,25,7,14,2,2,3,0,1
6/3/2002,Southampton,Middlesbrough,1,1,D,1,0,H,9,4,4,1,1,1,0,1
6/3/2002,West Ham,Everton,1,0,H,0,0,D,16,6,6,2,0,2,0,0
9/3/2002,Leicester,Charlton,1,1,D,1,1,D,10,11,5,6,1,3,0,0
13/03/02,Blackburn,Ipswich,2,1,H,2,0,H,11,6,7,3,3,2,0,0
13/03/02,Chelsea,Tottenham,4,0,H,1,0,H,24,5,13,0,1,3,0,1
16/03/02,Bolton,Derby,1,3,A,0,1,A,6,3,2,2,0,0,1,0
16/03/02,Chelsea,Sunderland,4,0,H,1,0,H,12,8,7,3,2,2,0,0
16/03/02,Everton,Fulham,2,1,H,2,0,H,5,11,2,5,2,4,1,0
16/03/02,Middlesbrough,Liverpool,1,2,A,0,1,A,15,8,5,7,0,2,0,0
16/03/02,Newcastle,Ipswich,2,2,D,0,0,D,20,7,8,4,1,1,0,0
16/03/02,Southampton,Leicester,2,2,D,1,2,A,9,6,5,4,0,3,0,0
16/03/02,West Ham,Man United,3,5,A,2,2,D,10,14,3,9,2,2,0,0
17/03/02,Aston Villa,Arsenal,1,2,A,1,0,H,8,6,3,3,1,2,0,0
17/03/02,Leeds,Blackburn,3,1,H,2,0,H,18,15,8,8,2,1,0,0
18/03/02,Tottenham,Charlton,0,1,A,0,0,D,13,10,5,4,1,0,0,0
23/03/02,Charlton,Bolton,1,2,A,0,2,A,6,6,4,4,1,2,0,0
23/03/02,Derby,Everton,3,4,A,0,1,A,12,8,4,7,2,3,0,0
23/03/02,Ipswich,Aston Villa,0,0,D,0,0,D,13,6,3,2,1,2,0,0
23/03/02,Leicester,Leeds,0,2,A,0,2,A,11,12,5,8,2,2,0,0
