Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HY,AY,HR,AR
19/08/00,Charlton,Man City,4,0,H,2,0,H,17,8,14,4,1,2,0,0
19/08/00,Chelsea,West Ham,4,2,H,1,0,H,17,12,10,5,1,2,0,0
19/08/00,Coventry,Middlesbrough,1,3,A,1,1,D,6,16,3,9,5,3,1,0
19/08/00,Derby,Southampton,2,2,D,1,2,A,6,13,4,6,1,1,0,0
19/08/00,Leeds,Everton,2,0,H,2,0,H,17,12,8,6,1,3,0,0
19/08/00,Leicester,Aston Villa,0,0,D,0,0,D,5,5,4,3,2,3,0,0
19/08/00,Liverpool,Bradford,1,0,H,0,0,D,16,3,10,2,1,1,0,0
19/08/00,Sunderland,Arsenal,1,0,H,0,0,D,8,14,2,7,3,1,0,1
19/08/00,Tottenham,Ipswich,3,1,H,2,1,H,20,15,6,5,0,0,0,0
20/08/00,Man United,Newcastle,2,0,H,1,0,H,19,9,9,6,0,1,0,0
21/08/00,Arsenal,Liverpool,2,0,H,1,0,H,17,7,12,4,2,4,1,2
22/08/00,Bradford,Chelsea,2,0,H,1,0,H,12,14,3,6,0,1,0,0
22/08/00,Ipswich,Man United,1,1,D,1,1,D,13,15,8,6,1,4,0,0
22/08/00,Middlesbrough,Tottenham,1,1,D,0,1,A,12,11,6,4,2,1,0,0
23/08/00,Everton,Charlton,3,0,H,0,0,D,13,8,8,4,2,1,0,1
23/08/00,Man City,Sunderland,4,2,H,2,0,H,15,9,10,4,3,3,0,0
23/08/00,Newcastle,Derby,3,2,H,1,1,D,9,10,4,5,0,3,1,0
23/08/00,Southampton,Coventry,1,2,A,0,1,A,12,7,4,5,5,3,0,0
23/08/00,West Ham,Leicester,0,1,A,0,0,D,17,4,12,2,3,3,1,0
26/08/00,Arsenal,Charlton,5,3,H,1,2,A,18,7,9,4,0,1,0,0
26/08/00,Bradford,Leicester,0,0,D,0,0,D,8,13,4,8,1,2,0,0
26/08/00,Everton,Derby,2,2,D,2,0,H,12,7,9,4,2,3,0,0
26/08/00,Ipswich,Sunderland,1,0,H,0,0,D,14,9,5,3,1,1,0,0
26/08/00,Man City,Coventry,1,2,A,0,2,A,14,9,5,8,2,3,0,0
26/08/00,Middlesbrough,Leeds,1,2,A,0,2,A,15,16,8,11,2,0,0,0
26/08/00,Newcastle,Tottenham,2,0,H,1,0,H,15,10,6,2,0,0,0,0
26/08/00,Southampton,Liverpool,3,3,D,0,1,A,14,9,7,4,0,0,0,0
26/08/00,West Ham,Man United,2,2,D,0,1,A,17,8,8,5,1,0,0,0
27/08/00,Aston Villa,Chelsea,1,1,D,1,1,D,12,11,9,7,0,1,0,0
5/9/2000,Leeds,Man City,1,2,A,0,2,A,6,8,1,3,2,2,0,0
5/9/2000,Man United,Bradford,6,0,H,2,0,H,21,6,12,4,0,1,0,0
5/9/2000,Sunderland,West Ham,1,1,D,1,1,D,17,16,7,9,2,3,0,0
5/9/2000,Tottenham,Everton,3,2,H,1,2,A,11,11,7,6,1,2,0,0
6/9/2000,Charlton,Southampton,1,1,D,0,0,D,8,11,6,3,3,3,1,0
6/9/2000,Chelsea,Arsenal,2,2,D,1,0,H,12,13,5,5,3,1,0,0
6/9/2000,Coventry,Newcastle,0,2,A,0,1,A,13,13,3,6,1,1,0,0
6/9/2000,Derby,Middlesbrough,3,3,D,0,1,A,9,5,5,4,3,2,0,0
6/9/2000,Leicester,Ipswich,2,1,H,0,0,D,12,7,6,3,1,1,0,0
6/9/2000,Liverpool,Aston Villa,3,1,H,3,0,H,11,9,7,4,0,2,0,0
9/9/2000,Bradford,Arsenal,1,1,D,1,0,H,9,18,5,11,0,2,0,0
9/9/2000,Coventry,Leeds,0,0,D,0,0,D,9,11,1,5,2,2,0,0
9/9/2000,Ipswich,Aston Villa,1,2,A,0,1,A,15,5,5,2,1,3,0,0
9/9/2000,Leicester,Southampton,1,0,H,0,0,D,17,9,6,5,0,0,0,0
9/9/2000,Liverpool,Man City,3,2,H,1,0,H,14,9,8,7,3,4,0,0
9/9/2000,Man United,Sunderland,3,0,H,1,0,H,15,5,7,1,1,3,0,0
9/9/2000,Middlesbrough,Everton,1,2,A,1,0,H,9,12,5,9,3,0,0,0
9/9/2000,Newcastle,Chelsea,0,0,D,0,0,D,10,10,4,3,0,3,0,0
10/9/2000,Derby,Charlton,2,2,D,2,0,H,12,10,6,6,3,1,0,0
11/9/2000,Tottenham,West Ham,1,0,H,0,0,D,15,11,7,5,1,2,0,0
16/09/00,Arsenal,Coventry,2,1,H,1,0,H,18,6,13,2,1,2,0,0
16/09/00,Aston Villa,Bradford,2,0,H,1,0,H,12,8,7,4,0,2,0,0
16/09/00,Charlton,Tottenham,1,0,H,1,0,H,9,10,5,5,0,0,0,0
16/09/00,Everton,Man United,1,3,A,0,3,A,6,17,4,9,4,1,0,0
16/09/00,Leeds,Ipswich,1,2,A,1,1,D,11,12,6,7,1,3,0,0
16/09/00,Southampton,Newcastle,2,0,H,0,0,D,13,10,9,7,0,0,0,0
16/09/00,Sunderland,Derby,2,1,H,1,0,H,15,10,8,5,2,3,0,0
17/09/00,Chelsea,Leicester,0,2,A,0,1,A,16,7,10,5,3,1,0,0
17/09/00,Man City,Middlesbrough,1,1,D,0,0,D,11,4,4,2,2,5,0,0
17/09/00,West Ham,Liverpool,1,1,D,0,1,A,15,7,4,2,0,2,0,0
23/09/00,Bradford,Southampton,0,1,A,0,1,A,14,6,6,4,3,1,0,0
23/09/00,Coventry,West Ham,0,3,A,0,2,A,9,12,2,10,0,1,0,0
23/09/00,Derby,Leeds,1,1,D,0,1,A,13,16,7,6,2,2,1,0
23/09/00,Ipswich,Arsenal,1,1,D,0,0,D,17,10,6,4,1,2,0,0
23/09/00,Liverpool,Sunderland,1,1,D,1,1,D,11,8,6,3,2,2,0,0
23/09/00,Man United,Chelsea,3,3,D,3,2,H,11,13,5,5,3,2,0,0
23/09/00,Middlesbrough,Aston Villa,1,1,D,0,0,D,12,15,5,7,3,0,0,0
23/09/00,Newcastle,Charlton,0,1,A,0,1,A,12,4,5,2,1,2,0,0
23/09/00,Tottenham,Man City,0,0,D,0,0,D,18,7,5,2,0,2,0,0
24/09/00,Leicester,Everton,1,1,D,1,0,H,10,9,4,3,3,1,0,0
30/09/00,Aston Villa,Derby,4,1,H,2,0,H,12,11,7,6,1,1,0,0
30/09/00,Charlton,Coventry,2,2,D,0,1,A,12,10,8,6,1,2,0,0
30/09/00,Everton,Ipswich,0,3,A,0,1,A,7,9,3,7,1,0,0,0
30/09/00,Leeds,Tottenham,4,3,H,0,1,A,14,10,7,5,0,2,0,0
30/09/00,Man City,Newcastle,0,1,A,0,0,D,9,15,7,9,0,1,0,0
30/09/00,Southampton,Middlesbrough,1,3,A,0,2,A,16,7,8,5,2,2,0,0
30/09/00,West Ham,Bradford,1,1,D,1,0,H,14,9,6,6,3,2,0,0
1/10/2000,Arsenal,Man United,1,0,H,1,0,H,7,13,5,4,2,3,0,0
1/10/2000,Chelsea,Liverpool,3,0,H,2,0,H,11,10,5,2,1,1,0,0
1/10/2000,Sunderland,Leicester,0,0,D,0,0,D,11,8,5,2,3,1,0,0
14/10/00,Arsenal,Aston Villa,1,0,H,0,0,D,16,8,10,3,1,4,0,1
14/10/00,Coventry,Tottenham,2,1,H,2,0,H,0,4,5,5,0,4,1,0
14/10/00,Everton,Southampton,1,1,D,0,0,D,7,7,3,4,1,3,0,0
14/10/00,Ipswich,West Ham,1,1,D,1,0,H,11,7,8,2,0,4,0,0
14/10/00,Leeds,Charlton,3,1,H,1,0,H,22,10,10,8,0,1,0,0
14/10/00,Leicester,Man United,0,3,A,0,1,A,10,16,4,5,0,0,0,0
14/10/00,Man City,Bradford,2,0,H,2,0,H,13,10,10,2,0,2,0,0
14/10/00,Sunderland,Chelsea,1,0,H,0,0,D,16,11,11,2,0,1,1,1
15/10/00,Derby,Liverpool,0,4,A,0,1,A,6,16,0,11,1,1,0,0
16/10/00,Middlesbrough,Newcastle,1,3,A,0,1,A,8,15,2,8,2,1,0,0
21/10/00,Bradford,Ipswich,0,2,A,0,1,A,7,12,3,3,1,0,0,0
21/10/00,Charlton,Middlesbrough,1,0,H,0,0,D,5,8,2,6,2,2,0,0
21/10/00,Chelsea,Coventry,6,1,H,2,0,H,33,3,19,3,0,1,0,1
21/10/00,Liverpool,Leicester,1,0,H,0,0,D,24,8,11,3,1,2,0,0
21/10/00,Man United,Leeds,3,0,H,1,0,H,26,5,14,0,0,2,0,0
21/10/00,Newcastle,Everton,0,1,A,0,0,D,11,9,4,4,1,3,0,0
21/10/00,Tottenham,Derby,3,1,H,2,1,H,18,8,8,7,1,2,0,0
21/10/00,West Ham,Arsenal,1,2,A,0,2,A,11,13,3,5,1,0,0,0
22/10/00,Aston Villa,Sunderland,0,0,D,0,0,D,17,7,4,3,1,3,0,0
23/10/00,Southampton,Man City,0,2,A,0,1,A,19,11,6,4,1,2,0,0
