Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HY,AY,HR,AR
16/08/03,Arsenal,Everton,2,1,H,1,0,H,11,13,5,7,1,3,1,1
16/08/03,Birmingham,Tottenham,1,0,H,1,0,H,10,15,5,7,3,5,0,0
16/08/03,Blackburn,Wolves,5,1,H,2,0,H,25,8,13,5,1,1,0,0
16/08/03,Fulham,Middlesbrough,3,2,H,1,1,D,17,8,9,5,1,1,0,0
16/08/03,Leicester,Southampton,2,2,D,2,0,H,12,13,7,10,3,1,0,0
16/08/03,Man United,Bolton,4,0,H,1,0,H,13,15,6,5,0,4,0,0
16/08/03,Portsmouth,Aston Villa,2,1,H,1,0,H,4,9,3,5,2,1,0,1
17/08/03,Charlton,Man City,0,3,A,0,2,A,10,14,5,8,2,1,1,0
17/08/03,Leeds,Newcastle,2,2,D,1,1,D,8,19,3,10,4,2,0,0
17/08/03,Liverpool,Chelsea,1,2,A,0,1,A,12,10,7,6,3,1,0,0
23/08/03,Bolton,Blackburn,2,2,D,2,0,H,16,10,10,5,2,4,0,1
23/08/03,Chelsea,Leicester,2,1,H,2,1,H,17,5,7,1,0,3,1,2
23/08/03,Everton,Fulham,3,1,H,3,0,H,10,23,8,15,2,4,0,0
23/08/03,Man City,Portsmouth,1,1,D,0,1,A,21,4,11,2,2,3,0,0
23/08/03,Newcastle,Man United,1,2,A,1,0,H,7,11,5,8,2,2,0,0
23/08/03,Southampton,Birmingham,0,0,D,0,0,D,14,12,7,5,3,1,0,0
23/08/03,Tottenham,Leeds,2,1,H,1,1,D,20,5,4,2,1,2,0,0
23/08/03,Wolves,Charlton,0,4,A,0,4,A,10,8,4,6,2,1,0,1
24/08/03,Aston Villa,Liverpool,0,0,D,0,0,D,14,15,9,9,0,1,0,0
24/08/03,Middlesbrough,Arsenal,0,4,A,0,3,A,10,14,4,10,1,0,0,0
25/08/03,Blackburn,Man City,2,3,A,1,1,D,14,13,10,5,2,1,0,0
26/08/03,Charlton,Everton,2,2,D,1,1,D,10,13,4,4,1,1,0,0
26/08/03,Leeds,Southampton,0,0,D,0,0,D,15,14,6,8,2,3,0,0
26/08/03,Leicester,Middlesbrough,0,0,D,0,0,D,12,13,4,3,3,2,0,0
26/08/03,Portsmouth,Bolton,4,0,H,0,0,D,13,13,8,4,2,4,0,0
27/08/03,Arsenal,Aston Villa,2,0,H,0,0,D,14,6,6,3,3,4,0,0
27/08/03,Liverpool,Tottenham,0,0,D,0,0,D,22,9,10,4,2,5,0,0
27/08/03,Man United,Wolves,1,0,H,0,0,D,14,12,5,2,2,2,0,0
30/08/03,Aston Villa,Leicester,3,1,H,3,0,H,10,5,8,4,1,2,0,1
30/08/03,Bolton,Charlton,0,0,D,0,0,D,13,7,9,1,4,2,0,0
30/08/03,Chelsea,Blackburn,2,2,D,1,1,D,12,7,5,4,0,4,0,0
30/08/03,Everton,Liverpool,0,3,A,0,1,A,11,18,5,11,3,3,0,0
30/08/03,Middlesbrough,Leeds,2,3,A,0,1,A,27,8,16,4,2,3,0,0
30/08/03,Newcastle,Birmingham,0,1,A,0,0,D,19,7,10,3,2,1,0,0
30/08/03,Tottenham,Fulham,0,3,A,0,1,A,18,9,6,5,0,2,0,0
30/08/03,Wolves,Portsmouth,0,0,D,0,0,D,11,9,2,2,3,5,0,0
31/08/03,Man City,Arsenal,1,2,A,1,0,H,11,10,7,5,4,3,0,0
31/08/03,Southampton,Man United,1,0,H,0,0,D,12,10,5,9,1,0,0,0
13/09/03,Arsenal,Portsmouth,1,1,D,1,1,D,12,8,7,2,2,3,0,0
13/09/03,Blackburn,Liverpool,1,3,A,1,1,D,8,21,5,14,2,2,1,0
13/09/03,Bolton,Middlesbrough,2,0,H,1,0,H,13,7,8,6,3,3,0,0
13/09/03,Charlton,Man United,0,2,A,0,0,D,8,14,3,9,2,2,1,0
13/09/03,Chelsea,Tottenham,4,2,H,2,1,H,12,9,6,3,1,4,0,0
13/09/03,Everton,Newcastle,2,2,D,0,0,D,9,4,7,2,5,5,1,1
13/09/03,Southampton,Wolves,2,0,H,1,0,H,15,10,10,3,3,5,0,0
14/09/03,Birmingham,Fulham,2,2,D,1,1,D,15,8,9,6,1,4,1,1
14/09/03,Man City,Aston Villa,4,1,H,0,1,A,17,8,9,4,0,1,0,0
15/09/03,Leicester,Leeds,4,0,H,2,0,H,19,14,11,2,0,2,0,0
20/09/03,Aston Villa,Charlton,2,1,H,1,0,H,15,8,6,3,3,2,0,0
20/09/03,Fulham,Man City,2,2,D,0,0,D,13,7,9,6,2,5,0,0
20/09/03,Leeds,Birmingham,0,2,A,0,0,D,12,7,6,3,4,2,1,0
20/09/03,Liverpool,Leicester,2,1,H,1,0,H,19,9,8,3,0,0,0,0
20/09/03,Newcastle,Bolton,0,0,D,0,0,D,14,8,7,6,1,1,0,0
20/09/03,Portsmouth,Blackburn,1,2,A,0,2,A,9,12,6,10,2,3,0,0
20/09/03,Tottenham,Southampton,1,3,A,0,2,A,13,12,6,10,1,1,0,0
20/09/03,Wolves,Chelsea,0,5,A,0,2,A,8,14,4,8,2,3,0,0
